user_id,is_paid,registration_days,source_channel_encoded,has_invitor,is_mobile_user,has_phone,has_email,contact_methods_count,learning_sessions,learning_days,avg_sessions_per_day,total_duration,avg_session_duration,avg_score,max_score,score_std,word_accuracy,sentence_accuracy,total_practices,course_completion_rate,immersive_ratio,total_visits,active_days,visit_frequency,unique_pages,unique_events,is_multi_device,primary_device_encoded,payment_page_visits
2214804,0,-21,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,8,1,8.0,6,2,1,2,0
2444183,0,-39,0,0,0,0,1,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,5,1,5.0,3,2,0,2,0
2837404,0,7,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,10,1,10.0,5,2,0,2,0
2214812,0,-69,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,25,1,25.0,14,2,0,2,0
2902940,0,-91,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,158,5,31.6,19,2,0,0,0
3066786,0,-6,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,6,1,6.0,3,2,0,2,0
3034020,0,-182,0,1,1,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2247591,0,-46,0,0,0,1,0,1,3,1,3.0,533,177.66666666666666,37.666666666666664,99,53.35103872778236,0.0,0.0,6,0.37666666666666665,0.4,264,2,132.0,22,3,0,2,0
2804647,0,-41,0,0,0,0,0,0,1,1,1.0,60,60.0,53.0,53,0.0,0.0,0.0,2,0.53,0.4,412,4,103.0,25,2,0,2,0
2280362,0,-99,0,0,0,0,1,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,8,1,8.0,5,2,0,2,0
2280364,0,-48,0,1,0,0,0,0,2,1,2.0,190,95.0,59.5,96,51.61879502661797,0.0,0.0,4,0.595,0.4,197,3,65.66666666666667,18,2,1,2,0
2018220,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,10,1,10.0,6,1,0,1,0
2149296,0,-62,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,13,1,13.0,7,2,0,2,0
2673584,0,-29,0,0,0,1,0,1,1,1,1.0,332,332.0,47.0,47,0.0,0.0,0.0,2,0.47,0.8,246,1,246.0,25,2,0,2,0
2214836,0,-145,0,0,1,0,0,0,2,1,2.0,747,373.5,0.0,0,0.0,0.0,0.0,4,0.0,0.8,0,0,0.0,0,0,0,0,0
2280373,0,-149,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,24,1,24.0,12,2,0,2,0
